,video_id,title,tags,views,likes,dislikes,comment_total,userId,user_click,user_rating,user_like,time_spend,position,pos_bias,device_info
0,#NAME?,DANGEROUS Jungle Spider!,"advtur,advturus,aimals,brakig,brakig trail,cyt,cyt ptrs,ptrs,sappig turtl,trail,wild,black widw spidr,spidr,brav,brav wildrss,wildlif,black widw challg,spidr bit,brw rclus,hldig a black widw,dadly spidr,dagrus spidr,scary,gld rb wavr,big crpy spidr,spidr challg,giat spidr,aimal advtur,jugl spidr,wadrig spidr,brazilia wadrig spidr,baaa spidr,dagrus jugl spidr",1319945,38949,533,6768,6,0,3,0,0,26,1,ios
1,-1fzGnFwz9M,9 Things You Need To Know About Kittens - Simon's Cat | 101,"cart,sims cat,sim's cat,simscat,sim tfild,sim th cat,fuy cats,cut cats,cat fails,family fridly,aimatd aimals,shrt aimati,aimatd cats,tfild,sim's katz,sim,cat,black ad whit,kitty,traditial aimati,black ad whit cat,Кот Саймона,cat lvrs,aimal (film charactr),fail,fuy cat,cats,cut,kitt,kitts,pts,sims cats,Cat,Sim,Tfild,carts,Ts,Aimatd,Aimati,Kitt,Fuy,Humur,fu,vids",189414,7070,112,288,12,1,0,1,2,65,0,web
2,-3AGlBYyLjo,Best Tom Petty Interview Ever,"tm,ptty,tm ptty,Tm Ptty,Tm Ptty (Musical Artist),Tm Ptty (Musicia)",2143,16,2,4,13,1,4,1,1,111,0,ios
3,-3lMEZ6k5NA,170912 BTS singing 'Closer' with The Chainsmokers,170912 BTS,201901,10034,148,591,9,1,2,0,6,71,0,android
4,-5sCWsLlTCI,SNL Host Kumail Nanjiani and P!nk Share Favorite Colors,"saturday ight liv,sl,sl sas 43,kumail ajiai,sl hst kumail ajiai,kumail ajiai sl,pik,sl musical gust pik,pik sl,aidy bryat,th big sick,s what,studi,hst,prm,rachl maddw,pag,cmdia,actr,writr,fuy,hilarius,cmdy,lg,ijag mvi,silic vally,what abut us,p!k,gr,favrit clr,ispir,ispirati",85052,1458,97,132,10,1,1,1,10,82,0,ios
5,-6Zc8Co2H3w,Honest Trailers - Star Trek: The Next Generation,"scr jukis,scrjukis,sj ws,hst trailrs,hst trailr,star trk,star trk tg,th xt grati,star trk th xt grati,captai piccard,patrick stwart,patrick stwart mm,patrick stwart star trk,captai kirk,spck",1784838.5,46837.75,1197,6767.5,12,1,3,1,5,12,0,android
6,#NAME?,Why Is Ayesha Curry Sending Pics of Her Feet to Steph Curry?,"th ral,daytim,talk shw,wm,tamra mwry,adri bail,li lv,jai mai",324901,1702.333333,59.33333333,225,6,0,5,0,0,51,1,android
7,#NAME?,Halloween ASMR: Spooky Sounds (feat. Mamrie Hart),"tylr akly,tylrakly,yutubr,vlg,vlggr,lgbtq,lgbt,gay,vlggig,uplad,Q&A,qusti,aswr,fuy,ll,cc,captid,ASMR,hallw,spky,spktbr,mamri hart,ricky dill,cllab,scarig ppl,dg",177331.2,14802.4,355.6,2405.6,16,0,3,0,0,59,1,android
8,-C-LJUD2LWU,We Keep Voting Democrat!  Candace Owens Tells Watters What EVERY Black American Needs to Hear,"wattrs cadac ws,wattrs wrld cadac ws,wattrs wrld rdpillblack,wattrs rdpillblack,cadac ws jss wattrs itrviw,cadac ws wattrs wrld,cadac ws wattrs wrld itrviw,rdpillblack itrviw,cadac ws itrviw,rdpillblack wattrs wrld",45222.5,2336.5,40,503.5,1,1,5,0,4,133,0,web
9,#NAME?,Goran Dragic & Luka Doncic after winning Eurobasket Gold Medal,"slvia,vs,srvia,urlagu,fial,2017,17,09,dragic,bgdavic,srbia,hl,highlights,full,stigmitupa,στιγμιοτυπα,σλοβενια,σερβια,τελικος,ευρωμπασκετ,Slvija,Srbiji,Словенија,Србија,Slwi,Srbi,Slvéi,Srbi,Eslvêia,Sérvia,Srbij,Eslvia,93,85,93-85,93:85,mik lupikis,Gra Dragic,Luka Dcic,itrviw",85547,296,19.25,199,17,0,2,0,0,63,1,android
10,#NAME?,Rotary Jails and Accidental Amputations,"tm sctt,tmsctt,amazig placs,rtary jail,crawfrdsvill,idiaa,patt",345995,12001.25,85,583.25,2,1,0,0,4,50,0,ios
11,#NAME?,12 STRONG - Official Trailer,"12 Strg,12 Strg Mvi,Chris Hmswrth,Michal Sha,Michal Pña,Navid Ngahba,Elsa Pataky,Rb Riggl,Niclai Fuglsig,Jrry Bruckhimr,Mvis,Film,War Mvis,Drama,Acti,Tru Stry,Alc,Alc Etrtaimt,Black Labl Mdia,Lisgat,Warr Brs,Warr Brs Picturs,WB,WB Picturs,Hrs Sldirs,Task Frc Daggr,U.S. Spcial Frcs,Gr Brts,U.S. Army",1942824,14057.66667,1157.666667,1976.333333,13,1,2,1,0,16,0,ios
12,#NAME?,Why Do Female Hyenas Have Pseudo-Penises?!,"MiutEarth,Miut Earth,MiutPhysics,Miut Physics,arth,histry,scic,virmt,virmtal scic,arth scic,bilgy,rprducti,psudpis,hya,masculiizati,mimicry",218853,9184,164,896,8,0,5,0,0,80,1,android
13,#NAME?,Syracuse Football: Dino Babers Post Game NC State,"Di Babrs,Nrth Carlia Stat,Syracus ftball,auth-dtt-auth",2308.75,1,1.5,0,14,0,1,0,0,123,1,ios
14,#NAME?,Fergie - You Already Know ft. Nicki Minaj,"Frgi,Yu,Alrady,Kw,BMG,Rights,Maagmt,(US),LLC,Pp",2567648.5,105004.3333,7676.666667,7455.5,7,0,2,0,0,10,1,android
15,#NAME?,Gwen Stefani - Santa Baby (Audio),"Gw,Stfai,Sata,Baby,Itrscp,Rcrds,Hliday",42730.75,2646.25,57,304.75,19,0,0,0,0,115,1,android
16,#NAME?,Jim Carrey Sounds Off on Icons and More at NYFW 2017 | E! Live from the Red Carpet,"Jim Carry,Fashi Wk,Fashi,Rd Carpt,E! Liv frm th Rd Carpt,Clbrity Gssip,Clbrity Nws,E! Nws,E! Etrtaimt,E!,Pp Cultur,Liv,Itrviws,Awards,Award Shw,Bauty,Oscars,Grammys,Gld Glbs,Emmys",2814971.333,18516.33333,724.3333333,5759.333333,6,0,3,0,0,11,1,web
17,#NAME?,How to Make Pusheen Brownie Pops! 💕,"rcip,rcips,hw t mak,hw t bak,ckig,fd,swts,dssrt,cut,asy,quick,kawaii,kawaii bakig,kawaiiswtwrld,kawaii fd,cut fd,cut bakig,cut dssrt,kawaii dssrt,asy bakig,simpl bakig,kawaii rcips,cut rcips,bakig rcips,Push,Push dssrt,Push rcip,Push cat,Push DIY,brwi pps,brwi rcip,bst chclat brwis,bst brwi rcip,bst vr brwis",55299.33333,4362.333333,26.66666667,449.3333333,19,1,4,0,9,107,0,ios
18,#NAME?,100 People Tell Us the Worst Thing They've Ever Done,"wrst,fuy,cmdic,shw,cmdy,talk shw,talk,wrst thig,kp it 100,watch cut vids,watch cut,cut vid",725911,18586.5,454,2634,12,0,1,0,0,34,1,web
19,#NAME?,Ollie's Baby is BORN!! (And MARK STRONG NAMED HER!!!),"Jlly,JOLLY,jlly,졸리,조쉬,조시,올리,jsh,lli,kra,glishma,외국인,영국남자,새로운,채널,scd,사생활,w,chal,한국말,UK,영국,런던",725730.25,36937.75,198.25,5140.75,11,1,5,1,7,32,0,android
20,#NAME?,Madison Beer Plays RAW's This Or That,"Madis Br,RAW,RAW Pags,Itrviw,Wrd Play,Drak,Brkly Bckham",8379,305.6666667,10.66666667,14.66666667,15,0,5,0,0,133,1,android
21,#NAME?,"Watch Us Build a 7,500 Piece Lego Millennium Falcon | WIRED","lg,lg star wars,millium falc,star wars,largst lg cstructi vr,star wars lg,largst lg st,mst xpsiv lg st,lg millium falc,lg st,millium falc lgs,lgs,star wars lg st,buildig lg,millium falc star wars,star wars st,lg star wars st,millium falc build,lg build,wird,wird.cm,tch,tchlgy",31346,1224.5,39.5,149.5,19,1,0,0,2,122,0,web
22,#NAME?,"Idris Elba Talks Childhood, Playing American Roles, And 'The Mountain Between Us' | The View","Idris Elba,Th Mutai Btw Us,Th Dark Twr,mvis,trtaimt,film,th viw",85616.5,1158.5,23.75,342,5,1,2,1,6,83,0,ios
23,#NAME?,My baby hears me for the first time and is almost moved to tears!,daf baby cut viral vid adrabl harig lss phak harig aids cchlar,2056194,7347,192.75,426.5,10,0,0,0,0,7,1,web
24,#NAME?,Introducing Oculus Go,"Oculus,Oculus G,VR,virtual rality,stadal,Stadal VR",239720.1667,1658,387.1666667,702.8333333,18,1,4,1,7,55,0,ios
25,#NAME?,Hurricane Irma Makes Landfall in Florida Keys as Powerful Category 4 | TODAY,"Wathr,U.S. Nws,Nws,Big Nws,Editr's picks,Hurrica Irma",329683,1158,189,436.5,1,0,0,0,0,74,1,android
